,Men_log,Hispanic_scale,White_scale,Black_scale,Native_scale,Asian_scale,Pacific_scale,Construction_log,Production_log,Drive_boxcox,Carpool_boxcox,Walk_boxcox,OtherTransp_boxcox,Income_log,IncomeErr_log,Poverty_log,MeanCommute_scale
Alabama-Henry,9.019058793810718,-0.4424237602851643,-0.31090263309571836,1.3822676727695207,-0.23766023534502304,-0.46685244833746076,-0.11258977713575608,2.388762789235098,2.995732273553991,22203712242.208324,4.075385090122899,0.6031460500405398,0.9532788535456382,10.645353466142934,8.077136638538454,2.747270914255491,0.6466970655159522
Alabama-Houston,10.810999866598701,-0.4060381829828316,-0.3370699925968628,1.2281726411478966,-0.19629227178964304,-0.1629784067674944,-0.11258977713575608,2.33214389523559,2.6461747973841225,26989425540.844555,3.5606382399976915,0.47674541965716233,0.6848266081210523,10.635158087766825,6.760414691083428,2.9069010598473755,-0.3355166690289626
Alabama-Jackson,10.16877063004443,-0.4320278810559263,0.6093161760278727,-0.3898251908791601,-0.08597770230862976,-0.3149154275524776,0.023498466999804964,2.5649493574615367,3.2809112157876537,26137532876.125843,3.6940210201053354,0.7052943814338556,0.46767368991005126,10.538608295573725,7.243512974665482,2.8903717578961645,0.3788205924582481
Alabama-Jefferson,12.649414615509887,-0.37485054529511797,-1.065394832045392,2.348863780214256,-0.21008159297476972,0.14089563480247197,-0.11258977713575608,2.0014800002101243,2.451005098112319,21194538781.1875,4.286405019285206,0.7052943814338556,0.5883840329178517,10.727882269705747,6.813444599510896,2.9338568698359038,0.0573688247890038
Alabama-Lamar,8.829372735468406,-0.49960109604597264,0.4610344721880521,0.17052037865401967,-0.19629227178964304,-0.46685244833746076,-0.11258977713575608,2.6878474937846906,3.2068032436339315,17168591023.652016,5.920921535291336,0.3734769619172768,0.5513116879186498,10.475878531960273,7.609862200913554,3.1822118404966093,0.5216880447556904
Alabama-Lauderdale,10.701422584813201,-0.4476216998997832,0.41306097976928696,0.08646854322404275,-0.18250295060451638,-0.20096266196374024,-0.11258977713575608,2.3978952727983707,2.760009940032921,22797970345.77005,4.196914590058115,0.790194514736272,0.5883840329178517,10.67185815433366,7.379008127628304,2.884800712846709,0.23595314016080648
Alabama-Lawrence,9.706316282491837,-0.4632155187436401,0.046717946753260124,0.19153333751151397,0.5069631086518166,-0.42886819314121494,-0.11258977713575608,2.72785282839839,3.2771447329921766,25803051783.04464,4.166773725908501,0.4273890922944439,0.42014412825939745,10.596709730283713,7.8826922062890254,2.928523523860541,0.9145735385736562
Alabama-Lee,11.215556626928903,-0.3800484849097369,-0.3152638596792422,1.0040344133346246,-0.22387091415989635,0.7866279731386503,-0.11258977713575608,2.1162555148025524,2.5649493574615367,20773787699.228977,3.8880235783936055,0.9245723099670654,0.5883840329178517,10.704816265940602,7.674152921281675,3.169685580677429,-0.2819413744174217
Alabama-Limestone,10.706071927794449,-0.2708917530027391,0.0859689860049775,0.28959381217982044,-0.16871362941938972,-0.011041385982511266,-0.11258977713575608,2.517696472610991,2.772588722239781,24982278052.46096,4.166773725908501,0.4273890922944439,0.42014412825939745,10.811141091014619,7.25063551189868,2.6602595372658615,0.5395464762928709
Alabama-Lowndes,8.54188580400661,-0.556778431806781,-2.1862300640110925,4.58324173872781,-0.23766023534502304,-0.46685244833746076,-0.11258977713575608,2.2192034840549946,3.4468078929142076,17407634507.84403,5.493138521547568,0.5221666900997034,0.2463115434874052,10.161071177163876,7.815207062189088,3.349904087274605,1.1110162854826393
Alabama-Macon,9.123256265069069,-0.4892052168167348,-2.587462909695312,5.059535472831014,-0.19629227178964304,-0.3908839379449692,-0.11258977713575608,2.2082744135228043,2.9231615807191558,12739735426.109652,5.294304853556689,1.3196470104956102,0.7129159957715903,10.333254953167257,7.646353722445999,3.254242968705492,-0.26408294288024114
Alabama-Madison,12.040147922897566,-0.32806908876354746,-0.4286557508508699,1.0670732899071071,-0.1549243082342631,0.48275393156868407,0.023498466999804964,1.9021075263969205,2.2925347571405443,24183177837.599648,3.594304355884064,0.67343992738632,0.7393175950494679,10.968077592589802,7.274479558773871,2.617395832834079,-0.44266725825204384
Alabama-Marengo,9.1539816383068,-0.45281963951440224,-1.2921786143886467,2.9862568655582478,-0.22387091415989635,-0.42886819314121494,-0.11258977713575608,2.5257286443082556,3.005682604407159,22057163544.426395,4.31593211161125,0.5221666900997034,0.5513116879186498,10.374802821206659,7.853993087224244,3.261935314328648,-0.21050764826870022
Alabama-Marion,9.616072111201778,-0.4476216998997832,0.7139856140324513,-0.3477992731641716,-0.21008159297476972,-0.35289968274872335,-0.11258977713575608,2.3513752571634776,3.100092288878234,21194538781.1875,4.403634909389865,0.5641603756139424,0.7393175950494679,10.382791548979164,7.642044402873258,3.0007198150650303,0.11094411940054409
Alabama-Marshall,10.745248684922709,0.08776608040596809,0.31711399493175607,-0.47387702630913703,-0.18250295060451638,-0.2769311723562318,-0.11258977713575608,2.5952547069568657,3.0492730404820207,17407634507.84403,5.26903786231084,0.6031460500405398,0.5112199906124424,10.570880932644982,7.140453043101158,3.005682604407159,0.0573688247890038
Alabama-Mobile,12.197112624158663,-0.43722582067054533,-0.755747744615179,1.8445527676343942,-0.1549243082342631,0.25484840039120926,-0.11258977713575608,2.272125885509337,2.6602595372658615,22648189371.529602,3.951182474870439,0.5641603756139424,0.5112199906124424,10.687594554708582,6.906754778648554,2.9601050959108397,0.20023627708644542
Alabama-Monroe,9.272281773516365,-0.5151949148898295,-0.8996682218714753,2.3208465017375968,-0.058399059938376456,-0.35289968274872335,-0.11258977713575608,2.5952547069568657,3.104586678466073,28580588853.851147,3.4926405800790095,0.6031460500405398,0.46767368991005126,10.213065647837128,8.11969625295725,3.4468078929142076,0.18237784554926556
Alabama-Montgomery,11.592623497865622,-0.3956423037535937,-1.6803277803222938,3.3014512484206615,-0.21008159297476972,0.3688011659799468,-0.11258977713575608,1.791759469228055,2.624668592163159,21053514009.48822,4.345311374159795,0.7352522999539252,0.46767368991005126,10.700296306368244,6.937314081223682,3.1179499062782403,-0.7105437313097479
Alabama-Morgan,10.98213520078464,-0.16693296071036018,0.059801626503832375,0.24056357484566715,-0.16871362941938972,-0.238946917159986,0.023498466999804964,2.4595888418037104,2.9338568698359038,25637141131.816547,4.2268985309164755,0.4273890922944439,0.42014412825939745,10.730968928388284,7.075808863978387,2.7788192719904172,0.14666098247490514
Alabama-Perry,8.444837529224097,-0.5255907941190674,-1.9812524145854584,4.155978241958761,-0.23766023534502304,-0.3149154275524776,-0.11258977713575608,1.7047480922384253,3.0349529867072724,20497136637.454052,3.9824931926087057,1.1217858086574126,0.9532788535456382,10.107937461403084,7.982074875081202,3.594568774642695,0.5752633393672313
Alabama-Pickens,9.175438319966918,-0.4892052168167348,-0.8822233155373786,2.3558680998334203,-0.23766023534502304,-0.42886819314121494,-0.11258977713575608,2.5877640352277083,3.3105430133940246,17771346672.389027,4.877999496816435,0.790194514736272,0.3679817498566914,10.319892600682627,7.762596048540069,3.2188758248682006,1.18245001163136
Alabama-Pike,9.668903811079362,-0.5255907941190674,-0.7993600104504203,2.068690995447666,-0.12734566586400975,0.3308169107837009,-0.11258977713575608,2.2407096892759584,2.9601050959108397,24660062720.3136,3.1381283687891535,0.9245723099670654,0.5513116879186498,10.398945699170996,7.805882040228621,3.261935314328648,-0.7284021628469284
Alabama-Randolph,9.313799080344413,-0.4216320018266885,-0.009977998832553393,0.7658875462830234,-0.19629227178964304,-0.3908839379449692,0.159586711135366,2.5726122302071057,3.261935314328648,14923582045.251694,5.319477812655111,0.7352522999539252,0.622799085152153,10.516617025110042,7.909122183211411,3.0155349008501706,0.700272360127493
Alabama-Russell,10.252276483450736,-0.32287114914892856,-1.1177295510476817,2.3068378624992674,-0.19629227178964304,-0.1629784067674944,0.159586711135366,2.341805806147327,2.791165107812717,21911414253.72377,4.345311374159795,0.6394741277673885,0.5513116879186498,10.519996639806674,7.767687277186908,3.044522437723423,0.18237784554926556
Alabama-St. Clair,10.672229100017557,-0.458017579129021,0.47411815193862433,0.05144694512821902,-0.18250295060451638,-0.1629784067674944,-0.11258977713575608,2.517696472610991,2.791165107812717,22948568105.878674,4.075385090122899,0.3734769619172768,0.622799085152153,10.856283776222593,7.3453648404168685,2.772588722239781,1.2181668747057213
Alabama-Shelby,11.504227749267033,-0.2708917530027391,0.14702615817431489,0.21254629636900813,-0.21008159297476972,0.2928326555874551,-0.11258977713575608,1.9878743481543455,2.128231705849268,22057163544.426395,3.9196935995923896,0.4273890922944439,0.5112199906124424,11.158918387679824,7.29776828253138,2.1162555148025524,0.9324319701108367
Alabama-Sumter,8.683554728631462,-0.5515804921921621,-2.2080361969287132,4.46416830520201,-0.18250295060451638,0.1788798899987177,-0.11258977713575608,1.9600947840472698,2.975529566236472,23099986160.520653,4.013628660371672,1.0274338075002096,0.2463115434874052,9.87822102528824,7.791522819150732,3.754198920234579,0.18237784554926556
Alabama-Talladega,10.583904040617256,-0.458017579129021,-0.5115190559378279,1.627418859440287,-0.19629227178964304,-0.3149154275524776,-0.11258977713575608,2.4159137783010487,3.1612467120315646,20497136637.454052,4.659303591635055,0.7052943814338556,0.622799085152153,10.467522134633262,7.515889085215125,3.1354942159291497,0.23595314016080648
Alabama-Tallapoosa,9.882927638570767,-0.4424237602851643,-0.28037404701104934,1.3122244765778732,-0.19629227178964304,-0.46685244833746076,-0.11258977713575608,2.4932054526026954,3.1441522786722644,18266034080.30775,5.167008658406356,0.31424001393388884,0.3679817498566914,10.57658507529037,7.735870319952567,3.1135153092103742,0.16451941401208503
Alabama-Tuscaloosa,11.480205973007298,-0.4060381829828316,-0.5202415091048763,1.5363627043911454,-0.22387091415989635,0.10291137960622614,-0.11258977713575608,2.2082744135228043,2.766319109226186,22499221685.490433,4.196914590058115,0.7352522999539252,0.5513116879186498,10.748604464955758,7.154615356913663,2.9496883350525844,-0.21050764826870022
Alabama-Walker,10.373897349284675,-0.45281963951440224,0.6180386291949204,-0.20771288078087663,-0.22387091415989635,-0.3149154275524776,-0.11258977713575608,2.653241964607215,2.8678989020441064,20635079436.607513,5.037226821582346,0.5641603756139424,0.5883840329178517,10.486903568942912,7.438383530044307,3.1135153092103742,1.2003084431685407
Alabama-Washington,9.046644279305394,-0.5047990356605916,-0.446100657184966,1.1371164860987546,0.8792747806502363,-0.3149154275524776,-0.11258977713575608,2.8213788864092133,3.339321977944068,15569989229.095577,6.012644624206908,0.7052943814338556,0.5883840329178517,10.664550357894438,7.724004656676065,2.9496883350525844,1.664627663135228
Alabama-Wilcox,8.589699882202986,-0.5411846129629242,-2.094644305757086,4.4361510267253506,-0.23766023534502304,-0.46685244833746076,-0.11258977713575608,2.1400661634962708,3.261935314328648,22351063800.962036,3.824127721433905,0.7052943814338556,0.5513116879186498,10.075337809462788,8.097730573664219,3.629660094453965,-0.12121549058279889
Alabama-Winston,9.382274835883651,-0.4268299414413075,0.8230162786205545,-0.5719375009774434,-0.19629227178964304,-0.3908839379449692,-0.11258977713575608,2.3978952727983707,3.2108436531709366,21194538781.1875,4.769603036973108,0.47674541965716233,0.8099233562582846,10.410124415680665,7.682021510826875,3.086486636822455,0.6288386339787723
Alaska-Aleutians East Borough,7.6953031349635665,0.051380503103635504,-2.6354364021140775,0.03743830588988945,3.761242908341708,11.118345386517506,1.3843809083554153,2.653241964607215,4.018183201256536,4194147.163721889,2.7949670267025892,2.0138141488566306,0.8882713986982212,11.027085093898146,7.895063498091573,2.8213788864092133,-3.282157872663707
Alaska-Aleutians West Census Area,8.129469764784231,-0.0005988930425539433,-2.0771993994229896,-0.2847603965916889,1.541162197536316,13.511353463880988,3.1535280821177087,2.6461747973841225,3.711130063048756,417929355.44520825,3.594304355884064,1.9168145727910566,1.032920953689458,11.342208315834394,8.464425125877582,2.2082744135228043,-2.7999802211598395
Alaska-Anchorage Municipality,11.938990268252471,-0.12534944379340865,-0.6598007597776484,-0.22172152001920614,0.6310669993179565,2.837777753735923,2.745263349711026,2.2407096892759584,2.2300144001592104,10826720581.419289,5.010959488192185,1.0706494478261503,1.1160886731635384,11.268634883054563,7.534762657037537,2.1041341542702074,-0.6748268682353874
Alaska-Bethel Census Area,9.143238568435446,-0.47880933758749683,-2.7968017857044702,-0.5509245421199492,10.876532639867062,-0.011041385982511266,0.295674955270927,2.0918640616783932,2.5649493574615367,30983319.312036544,5.218217638250837,1.8618225279027825,1.6140026077914316,10.83981617814679,7.8343923029104365,3.2268439945173775,-2.8356970842341997
Alaska-Bristol Bay Borough,6.315358001522335,-0.2033185380126928,-0.960725394040813,-0.5719375009774434,3.761242908341708,-0.20096266196374024,0.159586711135366,2.5572273113676265,2.6946271807700692,4929421669.911165,6.303209425459347,1.4846865291249143,1.0083564324607655,11.286652020647091,9.092232283495854,1.9740810260220096,-2.299944138118792
Alaska-Denali Borough,7.026426808699636,-0.43722582067054533,0.40433852660223857,-0.5649331813582787,0.24496600613441002,0.6346909523536672,-0.11258977713575608,2.760009940032921,2.388762789235098,514541958.4856786,4.013628660371672,1.7043814010380063,0.9221966973788448,11.30889803084825,8.751632702472298,2.5416019934645457,-0.960561772830272
Alaska-Dillingham Census Area,7.859026979751538,-0.4216320018266885,-2.517683284358926,-0.585946140215773,9.649283054390791,0.0649271244099803,-0.11258977713575608,2.451005098112319,2.4932054526026954,219554766.81672007,6.012644624206908,1.7408177129685094,1.5610626722840208,10.899937908325773,7.409136443920128,2.89591193827178,-2.585679042713676
Alaska-Fairbanks North Star Borough,10.887006933905731,-0.18772471916883596,-0.15389847608884943,-0.3197819946875126,0.5483310722071966,0.5207381867649299,0.70393968767761,2.5572273113676265,2.312535423847214,9737821161.916203,5.614570463146115,1.1335763751441452,1.0445611357390696,11.171392444155797,7.582738488914411,2.0918640616783932,-0.7284021628469284
Alaska-Haines Borough,7.234898420314831,-0.49440315643135374,0.1819159708425078,-0.6069590990732673,0.6448563205030832,0.6726752075499131,-0.11258977713575608,2.3608540011180215,2.6461747973841225,2583463966.434144,5.87462725634955,1.4512748718216901,1.3850175442772599,10.981046432006405,9.813015649372053,1.667706820558076,-2.6928296319367577
Alaska-Hoonah-Angoon Census Area,7.029087564149662,-0.458017579129021,-1.1395356839653024,-0.45286406745164276,4.230079828636014,0.5207381867649299,-0.11258977713575608,2.89591193827178,2.451005098112319,213130633.2612348,4.4325833066344655,1.8341344919756946,1.429097926180346,10.867024400007148,8.875846177738598,2.4765384001174837,-2.5499621796393157
Alaska-Juneau City and Borough,9.719865150009126,-0.25529793415888224,-0.4112108445167731,-0.5229072636432902,1.3894796644999228,1.8881713738297783,1.3843809083554153,2.3702437414678603,2.0412203288596382,6503875448.559518,5.989820403388233,1.3264049489509322,0.8882713986982212,11.35914471670985,7.663407664893479,1.8870696490323797,-1.4605978558713193
Alaska-Kenai Peninsula Borough,10.308085618204942,-0.3800484849097369,0.2735017290965148,-0.5649331813582787,0.7689602111692231,0.026942869213734563,0.023498466999804964,2.8273136219290276,2.4849066497880004,5743495577.748346,4.769603036973108,1.3330240905220456,1.3535329705097279,11.061688632615896,7.756623334538858,2.302585092994046,-0.639110005161027
Alaska-Ketchikan Gateway Borough,8.85907931788153,-0.32287114914892856,-0.4548231103520144,-0.5789418205966083,1.6376874458322024,2.305998180988482,0.023498466999804964,2.5494451709255714,2.624668592163159,4213051669.24935,6.455210525791915,1.541307270189582,0.905616121146672,11.070101110104696,8.176672771948455,2.4932054526026954,-1.835624918152105
Alaska-Kodiak Island Borough,8.918382504661613,-0.13054738340802757,-1.0479499257112956,-0.5789418205966083,1.5963194822768225,7.623793908462893,1.112204420084293,2.2407096892759584,3.131136910560194,3362518029.4257507,6.214986520764558,1.5904215705900966,1.1741081729609586,11.168842338867679,8.642062173462106,2.424802725718295,-2.1392182542841693
Alaska-Kusilvak Census Area,8.34283980427146,-0.5203928545044484,-3.093365193384111,-0.5789418205966083,11.814206480455677,-0.3149154275524776,0.023498466999804964,2.681021528714291,2.33214389523559,6070.704446857651,2.1091483289879127,1.9397975219227657,1.714397903980217,10.55134966888039,7.500529485395295,3.505557396986398,-3.103573557291904
Alaska-Lake and Peninsula Borough,6.594413459749778,-0.458017579129021,-2.3737628071026298,-0.5719375009774434,9.083920885800596,0.7486437179424047,0.840027931813171,2.791165107812717,2.740840023925201,9082892.202303376,3.4926405800790095,1.8825456549477784,1.682657781364311,10.835277547857206,9.148784066277077,2.8213788864092133,-3.0857151257547235
Alaska-Matanuska-Susitna Borough,10.823869902313536,-0.33846496799278536,0.2342506898447974,-0.5369159028816197,0.46559514509643657,0.0649271244099803,0.295674955270927,2.884800712846709,2.3513752571634776,8340351101.142337,5.167008658406356,0.8622934989190693,1.2988575570265417,11.197981816298208,7.3632795869630385,2.302585092994046,1.9146457046557515
